	author	title	pages	letter	text
27	Laclos	Liaisons	18-19	V	Savez-vous, Vicomte, que votre Lettre est d'une insolence rare, et qu'il ne tiendrait qu'à moi de m'en fâcher ? mais elle m'a prouvé clairement que vous aviez perdu la tête, et cela seul vous a sauvé de mon indignation. Amie généreuse et sensible, j'oublie mon injure pour ne m'occuper que de votre danger, et quelque ennuyeux qu'il soit de raisonner, je cède au besoin que vous en avez dans ce moment.##Vous, avoir la Présidente Tourvel ! mais quel ridicule caprice ! Je reconnais bien là votre mauvaise tête qui ne sait désirer que ce qu'elle croit ne pas pouvoir obtenir. Qu'est-ce donc que cette femme ? des traits réguliers si vous voulez, mais nulle expression : passablement faite, mais sans grâces : toujours mise à faire rire ! avec ses paquets de fichus sur la gorge, et son corps qui remonte au menton ! Je vous le dis en amie, il ne || vous faudrait pas deux femmes comme celle-là, pour vous faire perdre toute votre considération. Rappelez-vous donc ce jour où elle quêtait à Saint-Roch, et où vous me remerciâtes tant de vous avoir procuré ce spectacle. Je crois la voir encore, donnant la main à ce grand échalas en cheveux longs, prête à tomber à chaque pas, ayant toujours son panier de quatre aunes sur la tête de quelqu'un, et rougissant à chaque révérence. Qui vous eût dit alors: vous désirerez cette femme? Allons, Vicomte, rougissez vous-même, et revenez à vous. Je vous promets le secret.
31	Laclos	Liaisons	315-316	CXXXV	Rendue à moi-même, je jugeai plus convenable de ne pas me dispenser de mes premiers engagements, puisque j'étais libre de les remplir. Je finis ma toilette, et montai en voiture. Malheureusement mon Cocher me fit passer || devant l'Opéra, et je me trouvai dans l'embarras de la sortie ; j'aperçus à quatre pas devant moi, et dans la file à côté de la mienne, la voiture de Valmont. Le coeur me battit aussitôt, mais ce n'était pas de crainte ; et la seule idée qui m'occupait était le désir que ma voiture avançât. Au lieu de cela, ce fut la sienne qui fut forcée de reculer, et qui se trouva à côté de la mienne. Je m'avançai sur-le-champ : quel fut mon étonnement de trouver à ses côtés une fille, bien connue pour telle ! Je me retirai, comme vous pouvez penser, et c'en était déjà bien assez pour navrer mon coeur : mais ce que vous aurez peine à croire, c'est que cette même fille, apparemment instruite par une odieuse confidence, n'a pas quitté la portière de la voiture, ni cessé de me regarder, avec des éclats de rire à faire scène.##Dans l'anéantissement où j'en fus, je me laissai pourtant conduire dans la maison où je devais souper : mais il me fut impossible d'y rester ; je me sentais, à chaque instant, prête à m'évanouir, et surtout je ne pouvais retenir mes larmes. 
46	Laclos	Liaisons	21	VI	De quels traits vous osez peindre Madame de Tourvel !... quel homme n'eût point payé de sa vie cette insolente audace ? [...] ##Mais que dis-je ? Madame de Tourvel a-t-elle besoin d'illusion ? non ; pour être adorable il lui suffit d'être elle-même. Vous lui reprochez de se mettre mal ; je le crois bien : toute parure lui nuit ; tout ce qui la cache la dépare : c'est dans l'abandon du négligé qu'elle est vraiment ravissante. Grâce aux chaleurs accablantes que nous éprouvons, un déshabillé de simple toile me laisse voir sa taille ronde et souple. Une seule mousseline couvre sa gorge, et mes regards furtifs, mais pénétrants, en ont déjà saisi les formes enchanteresses. Sa figure, dites-vous, n'a nulle expression. Et qu'exprimerait-elle, dans les moments où rien ne parle à son coeur ? ##Non, sans doute, elle n'a point, comme nos femmes coquettes, ce regard menteur qui séduit quelquefois et nous trompe toujours. Elle ne sait pas couvrir le vide d'une phrase par un sourire étudié ; et quoiqu'elle ait les plus belles dents du monde, elle ne rit que de ce qui l'amuse. Mais il faut voir comme, dans les folâtres jeux, elle offre l'image d'une gaieté naïve et franche ! comme, auprès d'un malheureux qu'elle s'empresse de secourir, son regard annonce la joie pure et la bonté compatissante ! Il faut voir, surtout au moindre mot d'éloge ou de cajolerie, se peindre, sur sa figure céleste, ce touchant embarras d'une modestie qui n'est point jouée !... Elle est prude et dévote, et de là vous la jugez froide et inanimée? Je pense bien différemment. Quelle étonnante sensibilité ne faut-il pas avoir pour la répandre jusque sur son mari, et pour aimer toujours un être toujours absent? Quelle preuve plus forte pourriez-vous désirer? J'ai su pourtant m'en procurer une autre. 
78	Rétif	Paysan	409-410	CCLXXXII	Raisonnons un peu, même selon le  monde, d'après les exemples malheureux que nous venons d'avoir dans notre famille. Un jeune homme en est sorti ; il était spirituel, beau, bien fait, capable de faire son chemin, comme on dit ici. Cependant repasse dans ton esprit, ma chère femme, tout ce qui lui est arrivé. Quel paysan pourrait espérer une fortune pareille ? Mais quel paysan ne préférerait pas de souffrir le froid, le chaud, et de n'avoir || du pain qu'à moitié ses dents, à ce qui a suivi cette fortune et ces plaisirs de si courte durée ? 
79	Rétif	Paysan	403	CCLXXIX	Il y a vingt-cinq ans, mon cher Pierre, qu'à pareil jour, feu notre pauvre Edmond arriva chez M. Parangon, où j'étais alors. L'innocence et la candeur siégaient sur son front : il n'y avait dans son âme que douceur et bonté : le vice lui faisait horreur, et son âme, que j'ai vue à nu, était la plus honnête et la plus pure qu'il soit possible de supposer à créature humaine. Ce furent les méchants qui le perdirent. Dieu lui fasse miséricorde !... 
82	Rétif	Paysan	388	CCLXXIII	Oui, ma cousine, cet homme qui travaillait courbé dans ce jardin où vous étiez hier, cet homme était Edmond... vous seriez-vous doutée que cet objet d'horreur, noirci par un soleil brûlant, surmontant par son courage l'impuissance où il est de travailler, vous seriez-vous doutée que ce pût être Edmond ? 
84	Rétif	Paysan	369	CCLVII	
95	Rétif	Paysan	328-329	CCXXXVII	Aux Nouvelles-Hébrides, je vis un peuple moitié singe, moitié homme, gai comme les derniers, et plus heureux par cette ressemblance que par la ||première.
100	Rétif	Paysan	304-306	CCXXVIII	Je n'étais qu'à deux pas de là quand j'ai rencontré || || Madelon, ses soeurs, ses cousines Agnès et Thérèse, avec Eglé Corhaux. Ma pâleur, ma barbe hérissée, les vêtements ords (!) et souillés comme ceux des Virgines squalidae {des jeunes filles couvertes de haillons, 1775} du prophète Jérémie, leur ont fait détourner la vue.
104	Rétif	Paysan	295	CCXXVI	Tout à l'heure, sur la brune, un pauvre, privé d'un bras, m'a demandé l'aumône : une barbe longue et touffue déguisait ses traits ; mais le son de sa voix m'a fait impression. Je lui ai donné trois livres machinalement, et pourtant par l'intérêt qu'il m'inspirait. En les recevant il m'a fixée. Je l'ai vu pâlir, et s'éloigner précipitamment. 
108	Rétif	Paysan	277	CCXIV	Aussitôt l'intérêt le plus obligeant se peint sur tous les visages ; 
113	Rétif	Paysan	256-257	CCVIII	
116	Rétif	Paysan	243	CC	Elle lui a avoué trois amants, outre son entreteneur, et elle lui a raconté la manière dont elle s'est comportée avec chacun d'eux. Le premier était un clerc de notaire : elle l'aimait passionnément, et lui a donné une maladie honteuse ; le second un jeune homme de dix-huit ans, qu'elle a pris à cause de sa figure ; il s'est retiré pour se faire traiter ; le troisième, un gros homme, qu'une de ses voisines lui procura sans l'en avertir. [...] 
117	Rétif	Paysan	232	CXCIVIII	Tu sais comme est mon mari ; c'est un vieillard propre, encore vif, d'agréable humeur ; ne répétant jamais ce qu'il sait qu'on a bien entendu ; tendre, complaisant, prévenant, mais comme on doit l'être à son âge, sans importunité : s'occupant toujours de moi ; en mon absence, pour me procurer des aises, des commodités, et prévenir tous les desirs que je puis lui avoir donné lieu de pénétrer : affectant en ma présence un air libre ; se dérobant sans affectation aux remerciements les mieux mérités. Voilà, je crois, comme feraient tous les vieillards raisonnables, mariés à de jeunes femmes, si celles-ci voulaient s'y prêter : pour peu qu'on fasse, les vieillards sont contents ; une caresse, une complaisance, un mot agréable, un ton affectueux, les voilà comblés : cela est-il donc si difficile ? 
121	Rétif	Paysan	208	CXCIV	En voulant me faire du bien, Gaudet se joue de tout... Il vient d'épouser une vieille fille, énormement laide : cette fille a une mère, ou trisai:eule, je ne sais lequel, décrépite, mais ayant encore des prétentions, parce qu'on ne vieillit pas, dit-elle avec quarante mille livres de rente ; elle est amoureuse, et de plus, exigeante à proportion de sa laideur, qui est assaisonnée de tout ce qui pourrait faire mourir de dégoût l'homme le plus déterminé (sujet de la soixante et unième figure : frontispice de la VIe partie) ; et cette vieille, cette vieille,... elle est ma femme depuis huit jours... je me suis laissé conduire : cette sybille décrépite, veuve à peine de trois mois d'un jeune homme de vingt-cinq ans, se serait remariée à d'autres, et nous aurait enlevé la moitié de sa fortune ; car elle n'a assuré que vingt-mille livres de revenu à mon ami, en lui donnant la guenon qu'elle appelle sa fille... concevez ma peine, mon desespoir ! Il faut caresser cela ! [...] 
122	Rétif	Paysan	204	CXC	M. Gaudet me donne de grandes inquiétudes, par son mariage ! je voudrais ne rien savoir de tout cela ! Il vient de s'emparer tout à fait de mon cousin ; il le gouverne à sa fantaisie et va le marier avec une femme riche, âgée de soixante-dix-neuf ans onze mois vingt-neuf jours, dont M. Gaidet, lui, a épousée la fille, horriblement défigurée depuis un an, par la petite vérole. Cette fille était destinée à M. Gaudet pére, lorsque la mort l'enleva. Elle croit le fils libre : il s'est servi des mêmes titres qui l'ont fait passer pour ton père. Les deux mariages se font avec une donation mutuelle...##
124	Rétif	Paysan	196	CLXXXVIII	Au second, demeure une dame de Courbuisson, autrefois la jolie pâtissière, qu'un gentilhomme picard épris de ses charmes, a épousée après l'avoir entretenue. Elles est un peu sur le retour, mais encore belle, d'une blancheur éblouissante, etc., ce qui ne fait rien à mes affaires. Mais elle a une petite femme de chambre nommée Thérèse, fraîche comme un lis, vermeille comme la rose, vive, enjouée, amoureuse, que j'ai rencontrée chantant dans l'escalier. Je l'ai embrassée. Elle a souri en me fermant la porte au nez.##
125	Rétif	Paysan	193-196	CLXXXVIII	Ainsi que je te l'ai marqué, j'ai retrouvé l'aimable brune, au visage arrondi, qui se nomme Julie Des Ecluses : mais comme je t'ai broché cela en gros, je vais reprendre || les détails. Un jour qu'elle allait encore à la rue de Ventadour, je l'ai abordé d'un air humblement poli, en lui tenant les plus tendres discours. [...] || ||##Nous avons fait une cinquantaine de tours en causant ; il a été convenue qu'elle me recevrait chez sa mère, qu'elle allait prévenir de ma première visite. Je l'ai rendue le même soir. Jamais je n'ai rien vu de si bon que la mère ; de si aimable, de si raisonnable que la fille. J'étais enchanté. Elles demeurent au troisième. Elles sont bien meublées et j'ai su dès le premier jour, qu'elles jouissent de mille écus de rentes, bien hypothéquées. Elles ont eu des dettes à payer, pour un père et pour un frère, très libertins, qui sont morts ; ce qui les a gênées jusqu'à ce jour, que tout est acquitté. C'est après avoir appris ces détails, que j'ai parlé de toi. [...] ##
132	Rétif	Paysan	164-165	CLXXV	Mais voici du nouveau, du superfin, du miraculeux ! A notre comédie bourgeoise, nous eumes l'autre jour une || petite actrice charmante : elle ne jouait pas supérieurement ; mais elle paraissait avoir de l'usage, et beaucoup de cette aisance que donne l'habitude. Elle était soubrette ; j'étais valet ; nos rôles nous fournissaient d'assez jolies choses, et je les rendis avec un naturel qui m'attira des applaudissements redoublés. Ma petite actrice m'accueillait à proportion que mon mérite se développait : à la fin elle me fit sa cour. (sujet de la soixante-deuxième figure). Je la reconduisis. Appartement au premier, meubles somptueux, boudoir voluptueux et commode : je me dis, je suis chez une fille du monde, ou chez une actrice. Je ne me trompais dans aucune des deux conjectures ; c'était une danseuse de l'Opéra, qui avait la manie des comédies bourgeoises. Elle me dit son nom et son emploi. Représente-toi, mon cher, une brune de seize-ans, entretenue par un homme de soixante, qui ne l'a jamais perdue de vue que depuis deux jours ; une fille d'une beauté parfaite, dans qui l'on a mille fois ébranlé l'organe de la volupté, sans la lui faire goûter ; que la lecture de l'Arétin et de ses successeurs a embrasée en l'éclairant ; qui vit avec des compagnes dont les entretiens ont excité chez elle une indicible curiosité de connaître par expérience. A présent, vois ton Edmond pétillant de desirs, imaginant qu'il tient, ou va tenir dans ses bras une fille de l'Opéra, c'est-à-dire, une divinité (car, mon cher, pour nous autres jeunes gens qui sommes des mimophiles, ou si tu veux des mimomanes, une actrice est un être de la nature à peu près que sont les fées pour les enfants) : vois, dis-je, ton ami dans l'ivresse, cherchant plus à donner le bonheur qu'à le goûter ; crée, invente ; tu seras encore loin de la réalité... je n'en suis qu'à ma premiere entrée ; mais j'en espère une seconde pour demain. 
134	Rétif	Paysan	145	CLXXIII	L'un de ces soirs, par exemple, je trouvai rue des Petits-Champs, cette jolie brune de la rue des Provaires, dont le visage est si rond, les yeux noirs, si vifs, le tour si voluptueux. Je lui parlai.
138	Rétif	Paysan	122	CLXVII	Tandis que nous causions, il est entré sur la pointe du pied, sautant, dansant, riant comme une folle, une petite éveillée, au nez en l'air, âgée d'environ douze à treize ans. L'Alsacienne a voulu la renvoyer.
