	author	title	pages	letter	text
668	Rousseau	Julie	76-79	I.XXIII	A peine ai-je employé huit jours à parcourir un pays qui demanderait des années d'observation: mais, outre que la neige me chasse, j'ai voulu revenir au-devant du courrier qui m'apporte, j'espère, une de vos lettres. En attendant qu'elle arrive, je commence par vous écrire celle-ci, après laquelle j'en écrirai, s'il est nécessaire, une seconde pour répondre à la vôtre.##Je ne vous ferai point ici un détail de mon voyage et de mes remarques ; j'en ai fait une relation que je compte vous porter. Il faut réserver notre correspondance pour les choses qui nous touchent de plus près l'un et l'autre. Je me contenterai de vous parler de la situation de mon âme : il est juste de vous rendre compte de l'usage qu'on fait de votre bien.##J'étais parti, triste de mes peines et consolé de // votre joie ; ce qui me tenait dans un certain état de langueur qui n'est pas sans charme pour un coeur sensible. Je gravissais lentement et à pied des sentiers assez rudes, conduit par un homme que j'avais pris pour être mon guide et dans lequel, durant toute la route, j'ai trouvé plutôt un ami qu'un mercenaire. Je voulais rêver, et j'en étais toujours détourné par quelque spectacle inattendu. Tantôt d'immenses roches pendaient en ruines au-dessus de ma tête. Tantôt de hautes et bruyantes cascades m'inondaient de leur épais brouillard. Tantôt un torrent éternel ouvrait à mes côtés un abîme dont les yeux n'osaient sonder la profondeur. Quelquefois, je me perdais dans l'obscurité d'un bois touffu. Quelquefois, en sortant d'un gouffre, une agréable prairie réjouissait tout à coup mes regards. Un mélange étonnant de la nature sauvage et de la nature cultivée montrait partout la main des hommes où l'on eût cru qu'ils n'avaient jamais pénétré : à côté d'une caverne on trouvait des maisons ; on voyait des pampres secs où l'on n'eût cherché que des ronces, des vignes dans des terres éboulées, d'excellents fruits sur des rochers, et des champs dans des précipices.##Ce n'étoit pas seulement le travail des hommes qui rendait ces pays étranges si bizarrement contrastés : la nature semblait encore prendre plaisir à s'y mettre en opposition avec elle-même, tant on la trouvait différente en un même lieu sous divers aspects ! Au levant les fleurs du printemps, au midi les fruits de l'automne, au nord les glaces de l'hiver : elle réunissait toutes les saisons dans le même instant, tous les climats dans le même lieu, des terrains contraires sur le même sol, et formait l'accord inconnu partout ailleurs des productions des plaines et de celles des Alpes. Ajoutez à tout cela les illusions de l'optique, les pointes des monts différemment éclairées, le clair-obscur du soleil et des ombres, et tous les accidents de lumière qui en résultaient le matin et le soir ; vous aurez quelque idée des scènes continuelles qui ne cessèrent d'attirer mon admiration, et qui semblaient m'être offertes en un vrai théâtre ; car la perspective des monts, étant verticale, frappe les yeux tout à la fois et bien plus puissamment que celle des plaines, qui ne se voit qu'obliquement, en fuyant, et dont chaque objet vous en cache un autre. // ##J'attribuai, durant la première journée, aux agréments de cette variété le calme que je sentais renaître en moi. J'admirais l'empire qu'ont sur nos passions les plus vives les êtres les plus insensibles, et je méprisais la philosophie de ne pouvoir pas même autant sur l'âme qu'une suite d'objets inanimés. Mais cet état paisible ayant duré la nuit et augmenté le lendemain, je ne tardai pas de juger qu'il avait encore quelque autre cause qui ne m'était pas connue. J'arrivai ce jour-là sur des montagnes les moins élevées, et, parcourant ensuite leurs inégalités, sur celles des plus hautes qui étaient à ma portée. Après m'être promené dans les nuages, j'atteignais un séjour plus serein, d'où l'on voit dans la saison le tonnerre et l'orage se former au-dessous de soi ; image trop vaine de l'âme du sage, dont l'exemple n'exista jamais, ou n'existe qu'aux mêmes lieux d'où l'on en a tiré l'emblème.##Ce fut là que je démêlai sensiblement dans la pureté de l'air où je me trouvais la véritable cause du changement de mon humeur, et du retour de cette paix intérieure que j'avais perdue depuis si longtemps. En effet, c'est une impression générale qu'éprouvent tous les hommes, quoiqu'ils ne l'observent pas tous, que sur les hautes montagnes, où l'air est pur et subtil, on se sent plus de facilité dans la respiration, plus de légèreté dans le corps, plus de sérénité dans l'esprit ; les plaisirs y sont moins ardents, les passions plus modérées. Les méditations y prennent je ne sais quel caractère grand et sublime, proportionné aux objets qui nous frappent, je ne sais quelle volupté tranquille qui n'a rien d'âcre et de sensuel. Il semble qu'en s'élevant au-dessus du séjour des hommes, on y laisse tous les sentiments bas et terrestres, et qu'à mesure qu'on approche des régions éthérées, l'âme contracte quelque chose de leur inaltérable pureté. On y est grave sans mélancolie, paisible sans indolence, content d'être et de penser : tous les désirs trop vifs s'émoussent, ils perdent cette pointe aiguë qui les rend douloureux ; ils ne laissent au fond du coeur qu'une émotion légère et douce ; et c'est ainsi qu'un heureux climat fait servir à la félicité de l'homme les passions qui font ailleurs son tourment. Je doute qu'aucune agitation violente, aucune maladie de vapeurs pût tenir contre un pareil séjour prolongé, et je suis surpris que des bains de l'air salutaire et // bienfaisant des montagnes ne soient pas un des grands remèdes de la médecine et de la morale.Qui non palazzi, non teatro o loggia;##Ma'n lor vece un' abete, un faggio, un pino,##Trà l'erba verge e'l bel monte vicino##Levan di terra al ciel nostr' intelletto.Supposez les impressions réunies de ce que je viens de vous décrire, et vous aurez quelque idée de la situation délicieuse où je me trouvais. Imaginez la variété, la grandeur, la beauté de mille étonnants spectacles ; le plaisir de ne voir autour de soi que des objets tout nouveaux, des oiseaux étranges, des plantes bizarres et inconnues, d'observer en quelque sorte une autre nature, et de se trouver dans un nouveau monde. Tout cela fait aux yeux un mélange inexprimable, dont le charme augmente encore par la subtilité de l'air qui rend les couleurs plus vives, les traits plus marqués, rapproche tous les points de vue ; les distances paraissant moindres que dans les plaines, où l'épaisseur de l'air couvre la terre d'un voile, l'horizon présente aux yeux plus d'objets qu'il semble n'en pouvoir contenir : enfin le spectacle a je ne sais quoi de magique, de surnaturel, qui ravit l'esprit et les sens; on oublie tout, on s'oublie soi-même, on ne sait plus où l'on est. 
714	Révéroni	Pauliska	92		Falso, l'italien, parut alors ; sa face jaune, bilieuse, ses yeux hagards me saisirent, et confirmèrent bientôt l'idée que je m'en étais formée. Il me commanda d'une voix cassée de prendre la plume, je la pris en tremblant, il me dicta.
732	Révéroni	Pauliska	149-150		Je m'accoutoumai bientôt aux travaux champêtres. Ces forêts sombres, ces torrents, ces sites sauvages, où l'industrie de l'homme jette adroitement quelque semences, ces récoltes rares, sur des coteaux à pic, et qui dans leurs ondulations orageuses au-dessus des rochers semblaient peindre la chevelure hérissée de la nature irritée contre moi, tout contribuait à me jeter dans une mélancolie profonde ; tout me retraçait aussi le souvenir de mes parents infortunés. Là, la fougue de la jeunesse s'amortit ; là, le fantôme de la gloire s'abaissa devant le grand tableau de la nature et je retrouvai mon coeur, des souvenirs et des larmes. Une amie mourante, une amante perdue, un père désolé, en était-ce assez pour me rendre la sensibilité ?
757	Révéroni	Pauliska	198		Un silence profond régnait pendant la visite. Soudain on entend un grand cri dans le cachot, le père visiteur sort précipitamment... Quel spectacle ! Sa robe noire était en feu ; les sbires veulent l'éteindre, leurs mains, leurs vêtements se couvrent également d'une flamme blanche ; ils se croisent, se brûlent, poussent des cris affreux, et se sauvent en criant : il diavolo ! il diavolo ! Ces soldats flamboyant, en fuite sous ces voûtes sombres, ces cris répétés au loin par les cavités des cachots, ces feux pâles, répandaient une horreur profonde qui m'ôtait la possibilité de réfléchir, et m'alarmaient fortement.[...]Au milieu de ces scènes bizarres, de ces circonstances personnelles, je pensais sans cesse à mon fils. 
766	Dorat	Malheurs	433		
767	Dorat	Malheurs	437		C'est là que je rencontrai Sidley pour la première fois, elle était veuve et n'avait pas vingt ans. Jusque-là je n'avais éprouvé que l'ivresse du désir, je la vis et je connus l'amour. De quels touchants caractères la nature se plaît à marquer les premières impressions d'une âme sensible ! Tous les objets me parurent changés autour de moi. Le jour avait plus d'éclat, la nuit plus de volupté. Aussi jamais femme ne fut mieux faite pour réaliser les chimères d'une imagination ardente et justifier tous les délires du coeur. Figurez-vous ce que les grâces ont d'attraits et la beauté d'imposant. Une modestie noble, une décence naturelle, cette fierté intéressante dont peu de femmes ont le secret, un esprit sage et pénétrant, susceptible à la fois et des finesses du goût et de la sévérité des réflexions, voilà Sidley. Tels sont les charmes qui m'enlevèrent à moi. Mes regards s'échappaient furtivement vers elle ; et lorsque par hasard je rencontrais les siens, mon front se couvrait d'une rougeur involontaire. Elle s'aperçut bientôt du souverain empire qu'elle exerçait sur moi, et sentit elle-même quelques étincelles du feu qu'elle avait allumé. Elle ne me regardait plus : mais ses yeux quoique baissés me laissaient encore deviner leur expression. Il se répandit sur tous ses traits une mélancolie qui en relevait la beauté. Ce n'était point ce sérieux austère qui effarouche le sentiment, et qui décèle la sécheresse de l'âme ; c'était cette douce tristesse qui ne va jamais sans quelques dispositions à l'amour, et qu'il nourrit après l'avoir produite.
768	Dorat	Malheurs	476		Où en serais-je ? il eût abusé sans doute du moindre avantage que je lui aurais donné... Lui ! Où en serais-je ? il eût abusé sans doute du moindre avantage que je lui aurais donné... Lui ! mon amie, croyez-vous qu'il en soit capable ? lui, dont la physionomie charmante annonce tant de candeur ? Quels dehors séduisants, et qu'ils sont bien faits pour inspirer la confiance ! ##
776	Dorat	Malheurs	528		A propos, Ombert mon fermier m'est venu voir : il m'a amené sa fille, cette petite Claudine que vous appeliez votre bonne amie : elle était parée et n'en avait pas besoin. Figurez-vous une taille un peu forte, mais bien prise, des yeux brillants du feu de la santé, des joues fortement colorées et des lèvres qui font envie. Elle a un amoureux qui ferait d'elle un portrait plus détaillé ;  mais moi, j'aime mieux la doter que la peindre. Elle a un air de sagesse qui m'a séduite et l'on m'assure que sa conduite y répond ; on la propose pour modèle aux filles de son âge. Sous des habits villageois, elle s'attire les hommages et les respects de tous ceux qui l'approchent. Je compte la marier incessamment avec celui qu'elle aime ; c'est le fils d'un laboureur estimé qui a déjà succédé aux travaux de son père et qui, dit-on, héritera de ses vertus. Leur union m'attendrit d'avance ; la noce se fera dans mon château, je serai ravie que leur bonheur commence sous mes auspices. 
798	Dorat	Sacrifices	68		
807	Dorat	Sacrifices	167		J'étois hier dans un bosquet où la lumiere pénetre à peine, inaccessible à tout, excepté à l'amour. Votre image l'embellissoit, votre absence m'y faisoit soupirer ; et malgré ce que j'y desirois, j'aimois à y être. Le silence de ce lieu, son obscurité, un ruisseau dont le murmure invite à la rêverie ; tout s'y rassemble pour charmer les indifférens, et enivrer ceux qui ne le sont plus. J'y restois, je ne pouvois le quitter ; et j'y serois encore, si l'on n'étoit venu m'en arracher : mais tout cela n'est rien, sans ce qu'on aime. Quand les autres admirent, moi je regrette. La nature feroit un effort pour moi, elle deviendroit plus belle et plus riche, elle étonneroit davantage l'univers, qu'elle ne m'offriroit que mon amant. (I:68) 
810	Dorat	Sacrifices	187		Le plus noir chagrin me poursuit ; j'aspire après la solitude, et les rochers de... conviennent à la situation de mon ame : cette ame est profondément triste ; mais elle emporte votre image, elle n'est pas tout-à-fait infortunée. (II:5) 
835	Sénac	L'Émigré	137	XXXIII	Ces réflexions m'ont occupé une partie de la route ; à la moitié du chemin je me suis arrêté dans une auberge pour déjeuner et faire rafraîchir les chevaux ; dans cette auberge était un bon Germain de l'ancien temps ; la candeur, la probité étaient peintes sur sa figure, et l'on voyait à son maintien qu'il avait servi. (Saint-Alban, 137) 
876	Louvet	Année	56		Là, je me rappelai librement Sophie et tous ses charmes. Que de grâces! Que de beautés! me disais-je : sa charmante figure est plein d'esprit, et son esprit, j'en suis sûr, répond de sa figure. Ses grands yeux noirs m'ont inspiré je ne sais quoi... c'est de l'amour, sans doute. 
883	Louvet	Année	70		Nous en étions là quand le marquis arriva. Il me parut jeune encore : il était assez bien fait, mais d'une taille fort petite, et ses manières ressemblaient à sa taille ; sa figure avait de la gaieté, mais de cette gaieté qui fait qu'on rit toujours aux dépens de celui qui l'inspire. [...] Le marquis trouva que j'avais la physionomie heureuse, il me prodigua des éloges ridicules ; je l'en remerciai par des compliments outrés. 
887	Louvet	Année	57		"À l'instant même on annonça M. Person.##Je vis entrer un petit monsieur sec et blême, dont la mine justifiait pleinement la mauvaise humeur que m'avait inspirée son titre. Il s'avança d'un air grave et composé, puis d'un ton lent et mielleux il commença : « Monsieur, votre figure..."" Content du mot qu'il avait dit, il s'arrêta, cherchant le mot qu'il allait dire. « ... Votre figure répond de votre personne."" Je répliquai fort sèchement à ce doux compliment. (57-58)"
894	Louvet	Année	130		"''Je faisais mes exercices à Vasovie ; là se distinguait entre nous, par les qualités les plus ""Je faisais mes exercices à Vasovie ; là se distinguait entre nous, par les qualités les plus aimables, le jeune M. de P***. Aux charmes d'une figure à la fois douce et noble, il joignait les agréments d'un esprit heureusement cultivé ; l'adresse peu commune qu'il déployait dans nos jeux guerriers, la modestie plus rare avec laquelle il paraissait vouloir cacher son mérite à ses propres yeux, pour exalter le mérite moins recommendable de ses rivaux, presque toujours vaincus, l'urbanité de ses moeurs, la douceur de son caractère, fixaient l'attention, commandaient l'estime et le rendaient cher à cette brillante jeunesse qui partageait nos travaux et nos plaisirs. Dire que ce fut la ressemblance des caractères et la sympathie des humeurs qui commencèrent ma liaison avec M. de P., ce serait me louer beaucoup ; quoi qu'il en soit, nous vécûmes bientôt tous deux dans une intime familiarité."""
976	Nerciat	Félicia	100		portrait d'Eléonore Je suis minutieuse, et je ne puis me corriger de ce défaut, qui conduit à la prolixité. Il faut que je trace le portrait de cette demoiselle Éléonore. C'était une belle fille, un peu brune à la vérité, mais pourvue des attraits que comporte cette couleur. Une stature au-dessus de la médiocre, des yeux beaux, mais durs ; une bouche dédaigneuse et déplaisante quoique régulièrement bien formée. La taille était ce qu'on avait de mieux, mais un maintien guindé, théâtral, en diminuait l'agrément. En tout, Éléonore était une de ces femmes dont on dit : Pourquoi ne plaît-elle pas ?
